date,open,high,low,close,volume
2024-01-01,199.95,200.10,199.90,200.00,1000000
2024-01-02,200.05,200.20,199.95,200.10,1000000
2024-01-03,200.15,200.30,200.05,200.20,1000000
2024-01-04,200.25,200.40,200.15,200.30,1000000
2024-01-05,200.35,200.50,200.25,200.40,1000000
2024-01-08,200.45,200.60,200.35,200.50,1000000
2024-01-09,200.55,200.70,200.45,200.60,1000000
2024-01-10,200.65,200.80,200.55,200.70,1000000
2024-01-11,200.75,200.90,200.65,200.80,1000000
2024-01-12,200.85,201.00,200.75,200.90,1000000
