date,nav,nav_fee,benchmark_nav
20231201,1.0,1.0,1.0
20231204,0.9944650835489962,0.9938650835489962,0.9927961032755366
20231205,0.9793597690300524,0.9782918274218514,0.9738362729534326
20231206,0.9764891724238505,0.9754243610540492,0.9769226433754861
20231207,0.9796632825554967,0.9785950099813598,0.9763582114536863
20231208,0.983851155071305,0.9825434530345412,0.979070750781311
20231211,0.9888024189932375,0.9872523254734039,0.9879239820887505
20231212,0.9998670332356929,0.9980626537442362,0.9912285688827551
20231213,0.9945721423108822,0.9927773180825521,0.9740603718904881
20231214,0.9941818544726327,0.992387734565325,0.9710221852326681
20231215,0.9898647468350658,0.9880784176641506,0.9707096691648122
20231218,0.9963912634217451,0.994593156372084,0.9676752473259356
20231219,1.0000440503589352,0.9982393514189356,0.9705945141615508
20231220,0.9809999374701786,0.9792296059066273,0.9568841575049354
20231221,0.9898959175439556,0.9878745170163555,0.9710347730381402
20231222,0.9976334873211286,0.9953591965335135,0.9717509589285191
20231225,0.9918027419187501,0.9895417433980066,0.9710873918971826
20231226,0.989004533142728,0.9865124236400808,0.9660749820615474
20231227,1.003750562758968,1.0009845329924496,0.9695234311607354
20231228,1.0017393102459573,0.9989788228766493,0.9966045192929109
20231229,1.0079553081969421,1.0046981816021463,1.0020207166616424
