date,open,high,low,close,volume
2024-01-02,20.00,20.20,19.80,20.10,900000
2024-01-03,20.10,20.32,20.00,20.22,950000
2024-01-04,20.22,20.45,20.12,20.35,1020000
2024-01-05,20.35,20.55,20.25,20.40,1100000
2024-01-08,20.40,20.60,20.30,20.48,1050000
2024-01-09,20.48,20.68,20.40,20.55,1080000
2024-01-10,20.55,20.75,20.48,20.62,1120000
2024-01-11,20.62,20.82,20.55,20.70,1150000
2024-01-12,20.70,20.90,20.62,20.78,1180000
2024-01-15,20.78,20.98,20.70,20.85,1220000
2024-01-16,20.85,21.05,20.78,20.92,1250000
2024-01-17,20.92,21.12,20.85,21.00,1280000
2024-01-18,21.00,21.20,20.92,21.08,1190000
2024-01-19,21.08,21.28,21.00,21.15,1320000
2024-01-22,21.15,21.35,21.08,21.22,1350000
2024-01-23,21.22,21.42,21.15,21.28,1290000
2024-01-24,21.28,21.48,21.22,21.35,1310000
2024-01-25,21.35,21.55,21.28,21.40,1260000
2024-01-26,21.40,21.60,21.35,21.45,1340000
2024-01-29,21.45,21.65,21.40,21.50,1280000
2024-01-30,21.50,21.70,21.45,21.55,1250000
2024-01-31,21.55,21.75,21.50,21.60,1320000
2024-02-01,21.60,21.80,21.55,21.65,1290000
2024-02-02,21.65,21.85,21.60,21.70,1270000
2024-02-05,21.70,21.90,21.65,21.75,1310000
2024-02-06,21.75,21.95,21.70,21.80,1280000
2024-02-07,21.80,22.00,21.75,21.85,1320000
2024-02-08,21.85,22.05,21.80,21.90,1260000
2024-02-09,21.90,22.10,21.85,21.95,1350000
2024-02-19,21.95,22.15,21.90,22.00,1240000
2024-02-20,22.00,22.20,21.95,22.05,1280000
2024-02-21,22.05,22.25,22.00,22.10,1220000
2024-02-22,22.10,22.30,22.05,22.15,1250000
2024-02-23,22.15,22.35,22.10,22.20,1270000
2024-02-26,22.20,22.40,22.15,22.25,1290000
2024-02-27,22.25,22.45,22.20,22.30,1310000
2024-02-28,22.30,22.50,22.25,22.35,1280000
2024-02-29,22.35,22.55,22.30,22.40,1320000
2024-03-01,22.40,22.60,22.35,22.45,1260000
2024-03-04,22.45,22.65,22.40,22.50,1240000
2024-03-05,22.50,22.70,22.45,22.55,1280000
2024-03-06,22.55,22.75,22.50,22.60,1220000
2024-03-07,22.60,22.80,22.55,22.65,1250000
2024-03-08,22.65,22.85,22.60,22.70,1270000
2024-03-11,22.70,22.90,22.65,22.75,1290000
2024-03-12,22.75,22.95,22.70,22.80,1310000
2024-03-13,22.80,23.00,22.75,22.85,1280000
2024-03-14,22.85,23.05,22.80,22.90,1320000
2024-03-15,22.90,23.10,22.85,22.95,1260000
2024-03-18,22.95,23.15,22.90,23.00,1240000
2024-03-19,23.00,23.20,22.95,23.05,1280000
2024-03-20,23.05,23.25,23.00,23.10,1220000
2024-03-21,23.10,23.30,23.05,23.15,1250000
2024-03-22,23.15,23.35,23.10,23.20,1270000
2024-03-25,23.20,23.40,23.15,23.25,1290000
2024-03-26,23.25,23.45,23.20,23.30,1310000
2024-03-27,23.30,23.50,23.25,23.35,1280000
2024-03-28,23.35,23.55,23.30,23.40,1320000
2024-03-29,23.40,23.60,23.35,23.45,1260000
2024-04-01,23.45,23.65,23.40,23.50,1240000
2024-04-02,23.50,23.70,23.45,23.55,1280000
2024-04-03,23.55,23.75,23.50,23.60,1220000
2024-04-08,23.60,23.80,23.55,23.65,1250000
2024-04-09,23.65,23.85,23.60,23.70,1270000
2024-04-10,23.70,23.90,23.65,23.75,1290000
2024-04-11,23.75,23.95,23.70,23.80,1310000
2024-04-12,23.80,24.00,23.75,23.85,1280000
2024-04-15,23.85,24.05,23.80,23.90,1320000
2024-04-16,23.90,24.10,23.85,23.95,1260000
2024-04-17,23.95,24.15,23.90,24.00,1240000
2024-04-18,24.00,24.20,23.95,24.05,1280000
2024-04-19,24.05,24.25,24.00,24.10,1220000
2024-04-22,24.10,24.30,24.05,24.15,1250000
2024-04-23,24.15,24.35,24.10,24.20,1270000
2024-04-24,24.20,24.40,24.15,24.25,1290000
2024-04-25,24.25,24.45,24.20,24.30,1310000
2024-04-26,24.30,24.50,24.25,24.35,1280000
2024-04-29,24.35,24.55,24.30,24.40,1320000
2024-04-30,24.40,24.60,24.35,24.45,1260000
2024-05-06,24.45,24.65,24.40,24.50,1240000
2024-05-07,24.50,24.70,24.45,24.55,1280000
2024-05-08,24.55,24.75,24.50,24.60,1220000
