trial,time,x,y,z,vx,tilt
0,0.0,-4.635051558862087e-05,2.5778009872144116e-06,0.2499658209886108,-0.023175257794310435,0.0
0,0.002,-0.00014000528760947515,7.592171612067769e-06,0.24989627056979305,-0.04682738601042713,0.00046685069780532637
0,0.004,-0.0002176921106933489,1.1393263158190644e-05,0.24978387328332677,-0.03884341154193687,0.0014338588750559252
0,0.006,-0.0002828824506260463,1.4185598168374745e-05,0.2496300994697631,-0.032595169966348696,0.0022761987248875906
0,0.008,-0.0003386603841813356,1.611647254970974e-05,0.24943594676680503,-0.027888966777644658,0.0030086166683635884
0,0.01,-0.0003877592773022716,1.7290552589894712e-05,0.2492020799628725,-0.02454944656046801,0.0036484848383232654
0,0.012,-0.00043260393388072947,1.7781253746490526e-05,0.24892892613595616,-0.02242232828922894,0.004214812557767665
0,0.014,-0.0004674517423204704,1.8100101907188488e-05,0.24861597577732644,-0.017423904219870473,0.004727473971510857
0,0.016,-0.0004940226323517627,1.8283298451085488e-05,0.24826345495676097,-0.013285445015646158,0.005129905278703464
0,0.018000000000000002,-0.0005137664033797502,1.8358629210775397e-05,0.24787150521144619,-0.009871885513993735,0.005438545830930598
0,0.02,-0.0005279040861170243,1.8347661623690766e-05,0.24744021247021497,-0.007068841368637025,0.005668200254733452
0,0.022,-0.0005374631126613074,1.826733327398057e-05,0.24696962674017983,-0.004779513272141564,0.005831987155650335
0,0.024,-0.0005433070887971675,1.813110154373171e-05,0.24645977536726144,-0.0029219880679299936,0.005941384441211388
0,0.026000000000000002,-0.0005461609495760148,1.7949778091381372e-05,0.2459106718531389,-0.0014269303894236722,0.006006330534628152
0,0.028,-0.000546632208009757,1.773213750854706e-05,0.24532232162165626,-0.00023562921687113564,0.00603535511241761
0,0.03,-0.0005452289154118068,1.7485364300911367e-05,0.24469472570956222,0.0007016462989750867,0.006035722143626675
0,0.032,-0.0005423748597642487,1.7215384060654587e-05,0.24402788306052972,0.001427027823779081,0.006013574181915458
0,0.034,-0.0005384224441988921,1.692711153855117e-05,0.2433217918925052,0.0019762077826783004,0.00597407108803499
0,0.036000000000000004,-0.0005336636143998909,1.66246388951588e-05,0.2425764504614235,0.0023794148995005975,0.005921519241911709
0,0.038,-0.000528339141816348,1.6311380678136065e-05,0.2417918574412536,0.0026622362917713993,0.0058594892423518685
0,0.04,-0.0005226465180870224,1.5990187278719518e-05,0.24096801206841692,0.0028463118646627943,0.005790921369451442
0,0.042,-0.0005167466736261506,1.5663435214919488e-05,0.24010491414873383,0.002949922230435855,0.0057182189001123845
0,0.044,-0.0005107696984328143,1.5333100175473054e-05,0.23920256399070616,0.0029884875966681426,0.005643329863289906
0,0.046,-0.0005048197145179277,1.5000817052004935e-05,0.23826096230552204,0.002974991957443307,0.005567818100255362
0,0.048,-0.0004989790257318004,1.46679299828459e-05,0.23728011009838487,0.0029203443930636815,0.005492924628128028
