date,equity
2025-01-01,1000000.0
2025-01-02,1000000.0
2025-01-03,1000000.0
2025-01-06,1000000.0
2025-01-07,1000000.0
2025-01-08,1000000.0
2025-01-09,1000000.0
2025-01-10,1000000.0
2025-01-13,1000000.0
2025-01-14,1000000.0
2025-01-15,1000000.0
2025-01-16,1000000.0
2025-01-17,1000000.0
2025-01-20,1000000.0
2025-01-21,1000000.0
2025-01-22,1000000.0
2025-01-23,1000000.0
2025-01-24,1000000.0
2025-01-27,1000000.0
2025-01-28,1000000.0
2025-01-29,1000000.0
2025-01-30,1000000.0
2025-01-31,1000000.0
2025-02-03,1000000.0
2025-02-04,996954.14
2025-02-05,1024414.14
2025-02-06,992835.14
2025-02-07,992835.14
2025-02-10,999700.14
2025-02-11,985970.14
2025-02-12,990089.14
2025-02-13,1005192.14
2025-02-14,1006565.14
2025-02-17,992835.14
2025-02-18,1007938.14
2025-02-19,991462.14
2025-02-20,990089.14
2025-02-21,976359.14
2025-02-24,995581.14
